Product_ID,Product_Name,Category,Brand,Price,Rating,Description,Seller,City,State,Stock_Quantity,Discount_Percentage,Features
P00028,Puma Footwea Model 7554,Footwear,Puma,75075,3.8,Puma footwear product with premium features.,Seller_491,Ahmedabad,Delhi,97,37,"Footwear,Puma,Puma footwear product with premium features."
P00029,HP Laptop Model 9589,Laptops,HP,142432,3.1,HP laptops product with premium features.,Seller_161,Pune,Maharashtra,299,61,"Laptops,HP,HP laptops product with premium features."
P00030,Samsung Home Appliance Model 1031,Home Appliances,Samsung,133423,3.2,Samsung home appliances product with premium features.,Seller_96,Mumbai,Tamil Nadu,34,30,"Home Appliances,Samsung,Samsung home appliances product with premium features."
P00031,Nike Footwea Model 9433,Footwear,Nike,64842,4.2,Nike footwear product with premium features.,Seller_21,Mumbai,Telangana,336,66,"Footwear,Nike,Nike footwear product with premium features."
P00032,Allen Solly Clothin Model 3446,Clothing,Allen Solly,82660,3.5,Allen Solly clothing product with premium features.,Seller_203,Delhi,West Bengal,330,38,"Clothing,Allen Solly,Allen Solly clothing product with premium features."
P00033,Puma Footwea Model 1288,Footwear,Puma,2740,3.9,Puma footwear product with premium features.,Seller_289,Mumbai,Maharashtra,275,27,"Footwear,Puma,Puma footwear product with premium features."
P00034,Whirlpool Home Appliance Model 2270,Home Appliances,Whirlpool,91789,4.8,Whirlpool home appliances product with premium features.,Seller_451,Bengaluru,Karnataka,145,20,"Home Appliances,Whirlpool,Whirlpool home appliances product with premium features."
P00035,Puma Footwea Model 8766,Footwear,Puma,2349,4.3,Puma footwear product with premium features.,Seller_284,Hyderabad,West Bengal,53,17,"Footwear,Puma,Puma footwear product with premium features."
P00036,Puma Clothin Model 1853,Clothing,Puma,145323,3.3,Puma clothing product with premium features.,Seller_145,Bengaluru,West Bengal,175,26,"Clothing,Puma,Puma clothing product with premium features."
P00037,JBL Electronic Model 8380,Electronics,JBL,128364,3.5,JBL electronics product with premium features.,Seller_465,Pune,Maharashtra,324,54,"Electronics,JBL,JBL electronics product with premium features."
P00038,Puma Clothin Model 158,Clothing,Puma,87738,4.5,Puma clothing product with premium features.,Seller_327,Hyderabad,Delhi,379,56,"Clothing,Puma,Puma clothing product with premium features."
P00039,Philips Home Appliance Model 9289,Home Appliances,Philips,2833,3.2,Philips home appliances product with premium features.,Seller_484,Delhi,Tamil Nadu,18,47,"Home Appliances,Philips,Philips home appliances product with premium features."
P00040,Samsung Home Appliance Model 7141,Home Appliances,Samsung,33708,3.1,Samsung home appliances product with premium features.,Seller_187,Pune,Karnataka,107,31,"Home Appliances,Samsung,Samsung home appliances product with premium features."
P00041,Boat Electronic Model 5894,Electronics,Boat,147069,4.8,Boat electronics product with premium features.,Seller_209,Delhi,Delhi,442,20,"Electronics,Boat,Boat electronics product with premium features."
P00042,Asus Laptop Model 506,Laptops,Asus,47317,4.5,Asus laptops product with premium features.,Seller_171,Kolkata,Gujarat,342,31,"Laptops,Asus,Asus laptops product with premium features."
P00043,Levis Clothin Model 1871,Clothing,Levis,100580,4.7,Levis clothing product with premium features.,Seller_440,Ahmedabad,Delhi,102,58,"Clothing,Levis,Levis clothing product with premium features."
P00044,Allen Solly Clothin Model 3828,Clothing,Allen Solly,58737,3.0,Allen Solly clothing product with premium features.,Seller_99,Kolkata,Karnataka,142,8,"Clothing,Allen Solly,Allen Solly clothing product with premium features."
P00045,Allen Solly Clothin Model 8446,Clothing,Allen Solly,105072,4.4,Allen Solly clothing product with premium features.,Seller_432,Chennai,Maharashtra,59,33,"Clothing,Allen Solly,Allen Solly clothing product with premium features."
P00046,Acer Laptop Model 4449,Laptops,Acer,10327,3.2,Acer laptops product with premium features.,Seller_223,Chennai,West Bengal,402,40,"Laptops,Acer,Acer laptops product with premium features."
P00047,Nike Footwea Model 6411,Footwear,Nike,50127,3.5,Nike footwear product with premium features.,Seller_363,Kolkata,Maharashtra,266,68,"Footwear,Nike,Nike footwear product with premium features."
P00048,Sony Electronic Model 6067,Electronics,Sony,113361,3.1,Sony electronics product with premium features.,Seller_341,Chennai,Tamil Nadu,160,15,"Electronics,Sony,Sony electronics product with premium features."
P00049,JBL Electronic Model 8408,Electronics,JBL,81376,4.3,JBL electronics product with premium features.,Seller_168,Kolkata,West Bengal,151,70,"Electronics,JBL,JBL electronics product with premium features."
P00050,Dell Laptop Model 6988,Laptops,Dell,99689,4.4,Dell laptops product with premium features.,Seller_463,Delhi,Tamil Nadu,291,38,"Laptops,Dell,Dell laptops product with premium features."
P00051,Nike Footwea Model 5078,Footwear,Nike,75511,3.4,Nike footwear product with premium features.,Seller_403,Chennai,Telangana,226,56,"Footwear,Nike,Nike footwear product with premium features."
P00052,Sony Electronic Model 8475,Electronics,Sony,124341,4.6,Sony electronics product with premium features.,Seller_492,Delhi,West Bengal,43,36,"Electronics,Sony,Sony electronics product with premium features."
P00053,Whirlpool Home Appliance Model 1630,Home Appliances,Whirlpool,61868,4.3,Whirlpool home appliances product with premium features.,Seller_116,Bengaluru,Delhi,12,5,"Home Appliances,Whirlpool,Whirlpool home appliances product with premium features."
P00054,Asus Laptop Model 1293,Laptops,Asus,119683,3.8,Asus laptops product with premium features.,Seller_323,Bengaluru,West Bengal,356,49,"Laptops,Asus,Asus laptops product with premium features."
P00055,Bata Footwea Model 4097,Footwear,Bata,38983,4.3,Bata footwear product with premium features.,Seller_3,Mumbai,Gujarat,217,28,"Footwear,Bata,Bata footwear product with premium features."
P00056,Acer Laptop Model 7711,Laptops,Acer,13463,4.1,Acer laptops product with premium features.,Seller_470,Mumbai,Telangana,68,59,"Laptops,Acer,Acer laptops product with premium features."
P00057,JBL Electronic Model 7351,Electronics,JBL,132623,3.9,JBL electronics product with premium features.,Seller_465,Ahmedabad,Delhi,380,60,"Electronics,JBL,JBL electronics product with premium features."
P00058,Puma Footwea Model 4150,Footwear,Puma,72994,4.5,Puma footwear product with premium features.,Seller_267,Ahmedabad,West Bengal,122,35,"Footwear,Puma,Puma footwear product with premium features."
P00059,Nike Footwea Model 4781,Footwear,Nike,61770,3.5,Nike footwear product with premium features.,Seller_164,Mumbai,Delhi,77,29,"Footwear,Nike,Nike footwear product with premium features."
P00060,Adidas Footwea Model 3605,Footwear,Adidas,17136,3.8,Adidas footwear product with premium features.,Seller_170,Ahmedabad,Telangana,31,26,"Footwear,Adidas,Adidas footwear product with premium features."
P00061,Bata Footwea Model 9669,Footwear,Bata,5419,4.7,Bata footwear product with premium features.,Seller_392,Kolkata,Telangana,3,45,"Footwear,Bata,Bata footwear product with premium features."
P00062,Wrogn Clothin Model 6965,Clothing,Wrogn,141390,4.5,Wrogn clothing product with premium features.,Seller_280,Bengaluru,Telangana,112,34,"Clothing,Wrogn,Wrogn clothing product with premium features."
P00063,Bata Footwea Model 575,Footwear,Bata,102235,3.7,Bata footwear product with premium features.,Seller_348,Kolkata,West Bengal,84,59,"Footwear,Bata,Bata footwear product with premium features."
P00064,Acer Laptop Model 8851,Laptops,Acer,7368,4.8,Acer laptops product with premium features.,Seller_304,Pune,Maharashtra,329,54,"Laptops,Acer,Acer laptops product with premium features."
P00065,Asus Laptop Model 3077,Laptops,Asus,13480,3.5,Asus laptops product with premium features.,Seller_168,Bengaluru,Telangana,167,43,"Laptops,Asus,Asus laptops product with premium features."
P00066,Puma Footwea Model 7006,Footwear,Puma,66430,4.7,Puma footwear product with premium features.,Seller_241,Pune,West Bengal,276,6,"Footwear,Puma,Puma footwear product with premium features."
P00067,Levis Clothin Model 1224,Clothing,Levis,10852,4.5,Levis clothing product with premium features.,Seller_487,Bengaluru,Delhi,429,2,"Clothing,Levis,Levis clothing product with premium features."
P00068,Samsung Home Appliance Model 4008,Home Appliances,Samsung,33387,3.9,Samsung home appliances product with premium features.,Seller_59,Bengaluru,Telangana,358,32,"Home Appliances,Samsung,Samsung home appliances product with premium features."
P00069,Levis Clothin Model 1976,Clothing,Levis,43229,4.9,Levis clothing product with premium features.,Seller_56,Pune,Karnataka,294,48,"Clothing,Levis,Levis clothing product with premium features."
P00070,Adidas Footwea Model 1345,Footwear,Adidas,63960,3.2,Adidas footwear product with premium features.,Seller_396,Hyderabad,Gujarat,350,15,"Footwear,Adidas,Adidas footwear product with premium features."
P00071,LG Home Appliance Model 5788,Home Appliances,LG,139954,3.9,LG home appliances product with premium features.,Seller_190,Mumbai,Tamil Nadu,331,43,"Home Appliances,LG,LG home appliances product with premium features."
P00072,OnePlus Mobile Model 8131,Mobiles,OnePlus,27965,3.9,OnePlus mobiles product with premium features.,Seller_186,Ahmedabad,West Bengal,78,55,"Mobiles,OnePlus,OnePlus mobiles product with premium features."
P00073,Acer Laptop Model 4525,Laptops,Acer,141377,4.5,Acer laptops product with premium features.,Seller_239,Kolkata,Gujarat,374,34,"Laptops,Acer,Acer laptops product with premium features."
P00074,Levis Clothin Model 1519,Clothing,Levis,73418,4.8,Levis clothing product with premium features.,Seller_125,Ahmedabad,Tamil Nadu,312,48,"Clothing,Levis,Levis clothing product with premium features."
P00075,Puma Clothin Model 8198,Clothing,Puma,85499,3.4,Puma clothing product with premium features.,Seller_109,Chennai,Gujarat,132,43,"Clothing,Puma,Puma clothing product with premium features."
P00076,Roadster Clothin Model 4626,Clothing,Roadster,145996,3.0,Roadster clothing product with premium features.,Seller_486,Bengaluru,Maharashtra,123,52,"Clothing,Roadster,Roadster clothing product with premium features."
P00077,Adidas Footwea Model 7900,Footwear,Adidas,128964,3.9,Adidas footwear product with premium features.,Seller_9,Mumbai,Karnataka,113,51,"Footwear,Adidas,Adidas footwear product with premium features."
P00078,Sony Electronic Model 5116,Electronics,Sony,97035,3.9,Sony electronics product with premium features.,Seller_272,Chennai,Telangana,381,70,"Electronics,Sony,Sony electronics product with premium features."
P00079,Allen Solly Clothin Model 7534,Clothing,Allen Solly,71318,3.6,Allen Solly clothing product with premium features.,Seller_119,Mumbai,West Bengal,98,40,"Clothing,Allen Solly,Allen Solly clothing product with premium features."
P00080,Vivo Mobile Model 8879,Mobiles,Vivo,48834,3.4,Vivo mobiles product with premium features.,Seller_379,Ahmedabad,Karnataka,370,67,"Mobiles,Vivo,Vivo mobiles product with premium features."
P00081,Whirlpool Home Appliance Model 1747,Home Appliances,Whirlpool,51185,3.6,Whirlpool home appliances product with premium features.,Seller_185,Delhi,Karnataka,7,68,"Home Appliances,Whirlpool,Whirlpool home appliances product with premium features."
P00082,Lenovo Laptop Model 845,Laptops,Lenovo,14592,4.1,Lenovo laptops product with premium features.,Seller_358,Delhi,West Bengal,444,62,"Laptops,Lenovo,Lenovo laptops product with premium features."
P00083,Samsung Mobile Model 9505,Mobiles,Samsung,74836,3.9,Samsung mobiles product with premium features.,Seller_226,Chennai,Delhi,494,6,"Mobiles,Samsung,Samsung mobiles product with premium features."
P00084,Wrogn Clothin Model 1969,Clothing,Wrogn,17428,3.8,Wrogn clothing product with premium features.,Seller_38,Pune,Delhi,76,38,"Clothing,Wrogn,Wrogn clothing product with premium features."
P00085,Xiaomi Mobile Model 2040,Mobiles,Xiaomi,146594,4.5,Xiaomi mobiles product with premium features.,Seller_311,Bengaluru,Gujarat,267,48,"Mobiles,Xiaomi,Xiaomi mobiles product with premium features."
P00086,Bata Footwea Model 4971,Footwear,Bata,112714,3.6,Bata footwear product with premium features.,Seller_318,Pune,Tamil Nadu,491,12,"Footwear,Bata,Bata footwear product with premium features."
P00087,Dell Laptop Model 4435,Laptops,Dell,21581,3.3,Dell laptops product with premium features.,Seller_89,Mumbai,Delhi,1,52,"Laptops,Dell,Dell laptops product with premium features."
P00088,Bata Footwea Model 4871,Footwear,Bata,8855,3.5,Bata footwear product with premium features.,Seller_362,Hyderabad,West Bengal,440,58,"Footwear,Bata,Bata footwear product with premium features."
P00089,Vivo Mobile Model 3924,Mobiles,Vivo,69650,4.6,Vivo mobiles product with premium features.,Seller_321,Bengaluru,Telangana,58,69,"Mobiles,Vivo,Vivo mobiles product with premium features."
P00090,Dell Laptop Model 4452,Laptops,Dell,37585,3.1,Dell laptops product with premium features.,Seller_85,Hyderabad,Tamil Nadu,383,36,"Laptops,Dell,Dell laptops product with premium features."
P00091,Nike Footwea Model 7779,Footwear,Nike,80014,4.4,Nike footwear product with premium features.,Seller_483,Hyderabad,Tamil Nadu,276,63,"Footwear,Nike,Nike footwear product with premium features."
P00092,Nike Footwea Model 9898,Footwear,Nike,10748,4.8,Nike footwear product with premium features.,Seller_377,Chennai,Tamil Nadu,128,3,"Footwear,Nike,Nike footwear product with premium features."
P00093,Xiaomi Mobile Model 9524,Mobiles,Xiaomi,5737,5.0,Xiaomi mobiles product with premium features.,Seller_345,Hyderabad,Tamil Nadu,20,22,"Mobiles,Xiaomi,Xiaomi mobiles product with premium features."
P00094,Bata Footwea Model 4657,Footwear,Bata,47875,5.0,Bata footwear product with premium features.,Seller_224,Ahmedabad,Maharashtra,240,44,"Footwear,Bata,Bata footwear product with premium features."
P00095,Puma Footwea Model 5360,Footwear,Puma,27719,4.7,Puma footwear product with premium features.,Seller_169,Kolkata,West Bengal,253,36,"Footwear,Puma,Puma footwear product with premium features."
P00096,Noise Electronic Model 9112,Electronics,Noise,9918,3.9,Noise electronics product with premium features.,Seller_162,Hyderabad,Karnataka,59,51,"Electronics,Noise,Noise electronics product with premium features."
P00097,LG Home Appliance Model 8989,Home Appliances,LG,121403,3.8,LG home appliances product with premium features.,Seller_97,Chennai,Tamil Nadu,387,63,"Home Appliances,LG,LG home appliances product with premium features."
P00098,Noise Electronic Model 945,Electronics,Noise,53660,3.5,Noise electronics product with premium features.,Seller_68,Hyderabad,Telangana,450,62,"Electronics,Noise,Noise electronics product with premium features."
P00099,Samsung Mobile Model 4020,Mobiles,Samsung,41816,3.6,Samsung mobiles product with premium features.,Seller_8,Kolkata,Maharashtra,115,14,"Mobiles,Samsung,Samsung mobiles product with premium features."
P00100,Nike Footwea Model 2622,Footwear,Nike,130945,4.9,Nike footwear product with premium features.,Seller_150,Hyderabad,Telangana,427,61,"Footwear,Nike,Nike footwear product with premium features."
P00101,Adidas Footwea Model 7583,Footwear,Adidas,144809,3.3,Adidas footwear product with premium features.,Seller_98,Delhi,Gujarat,35,35,"Footwear,Adidas,Adidas footwear product with premium features."
P00102,Puma Footwea Model 8418,Footwear,Puma,70336,4.6,Puma footwear product with premium features.,Seller_145,Hyderabad,Gujarat,300,62,"Footwear,Puma,Puma footwear product with premium features."
P00103,Asus Laptop Model 8924,Laptops,Asus,127266,3.7,Asus laptops product with premium features.,Seller_283,Kolkata,Telangana,477,41,"Laptops,Asus,Asus laptops product with premium features."
P00104,Dell Laptop Model 9468,Laptops,Dell,100692,3.5,Dell laptops product with premium features.,Seller_398,Kolkata,Maharashtra,162,60,"Laptops,Dell,Dell laptops product with premium features."
P00105,Noise Electronic Model 6425,Electronics,Noise,40172,4.0,Noise electronics product with premium features.,Seller_19,Delhi,Tamil Nadu,494,42,"Electronics,Noise,Noise electronics product with premium features."
P00106,OnePlus Mobile Model 1733,Mobiles,OnePlus,138173,4.8,OnePlus mobiles product with premium features.,Seller_8,Delhi,Telangana,445,19,"Mobiles,OnePlus,OnePlus mobiles product with premium features."
P00107,OnePlus Mobile Model 4442,Mobiles,OnePlus,89050,4.2,OnePlus mobiles product with premium features.,Seller_204,Mumbai,Gujarat,168,68,"Mobiles,OnePlus,OnePlus mobiles product with premium features."
P00108,Puma Footwea Model 8094,Footwear,Puma,142123,3.1,Puma footwear product with premium features.,Seller_36,Bengaluru,West Bengal,350,36,"Footwear,Puma,Puma footwear product with premium features."
P00109,HP Laptop Model 7210,Laptops,HP,26105,4.5,HP laptops product with premium features.,Seller_361,Mumbai,Telangana,85,38,"Laptops,HP,HP laptops product with premium features."
P00110,Samsung Mobile Model 5414,Mobiles,Samsung,15010,3.6,Samsung mobiles product with premium features.,Seller_192,Kolkata,Delhi,125,67,"Mobiles,Samsung,Samsung mobiles product with premium features."
P00111,Adidas Footwea Model 2885,Footwear,Adidas,46192,3.2,Adidas footwear product with premium features.,Seller_446,Kolkata,Tamil Nadu,349,30,"Footwear,Adidas,Adidas footwear product with premium features."
P00112,Adidas Footwea Model 3904,Footwear,Adidas,121186,4.3,Adidas footwear product with premium features.,Seller_236,Hyderabad,West Bengal,4,59,"Footwear,Adidas,Adidas footwear product with premium features."
P00113,Roadster Clothin Model 2688,Clothing,Roadster,19661,3.9,Roadster clothing product with premium features.,Seller_177,Hyderabad,West Bengal,492,54,"Clothing,Roadster,Roadster clothing product with premium features."
P00114,JBL Electronic Model 7584,Electronics,JBL,79498,3.4,JBL electronics product with premium features.,Seller_197,Ahmedabad,Maharashtra,121,48,"Electronics,JBL,JBL electronics product with premium features."
P00115,Whirlpool Home Appliance Model 9517,Home Appliances,Whirlpool,77860,5.0,Whirlpool home appliances product with premium features.,Seller_152,Pune,Gujarat,337,50,"Home Appliances,Whirlpool,Whirlpool home appliances product with premium features."
P00116,Puma Clothin Model 9372,Clothing,Puma,13155,4.8,Puma clothing product with premium features.,Seller_382,Ahmedabad,Gujarat,462,36,"Clothing,Puma,Puma clothing product with premium features."
P00117,Acer Laptop Model 5872,Laptops,Acer,57709,4.3,Acer laptops product with premium features.,Seller_318,Hyderabad,West Bengal,386,17,"Laptops,Acer,Acer laptops product with premium features."
P00118,Boat Electronic Model 745,Electronics,Boat,81283,4.6,Boat electronics product with premium features.,Seller_18,Chennai,West Bengal,67,11,"Electronics,Boat,Boat electronics product with premium features."
P00119,Allen Solly Clothin Model 6907,Clothing,Allen Solly,46341,3.4,Allen Solly clothing product with premium features.,Seller_403,Chennai,Tamil Nadu,256,34,"Clothing,Allen Solly,Allen Solly clothing product with premium features."
P00120,Lenovo Laptop Model 7994,Laptops,Lenovo,77668,4.5,Lenovo laptops product with premium features.,Seller_174,Mumbai,Telangana,493,9,"Laptops,Lenovo,Lenovo laptops product with premium features."
P00121,Dell Laptop Model 6611,Laptops,Dell,146395,3.7,Dell laptops product with premium features.,Seller_405,Kolkata,Maharashtra,135,68,"Laptops,Dell,Dell laptops product with premium features."
P00122,OnePlus Mobile Model 6138,Mobiles,OnePlus,69023,4.2,OnePlus mobiles product with premium features.,Seller_422,Chennai,Maharashtra,345,29,"Mobiles,OnePlus,OnePlus mobiles product with premium features."
P00123,Nike Footwea Model 9298,Footwear,Nike,86283,4.8,Nike footwear product with premium features.,Seller_114,Mumbai,West Bengal,421,59,"Footwear,Nike,Nike footwear product with premium features."
P00124,JBL Electronic Model 6789,Electronics,JBL,30884,3.3,JBL electronics product with premium features.,Seller_485,Pune,Karnataka,252,14,"Electronics,JBL,JBL electronics product with premium features."
P00125,Xiaomi Mobile Model 8907,Mobiles,Xiaomi,35862,3.8,Xiaomi mobiles product with premium features.,Seller_190,Kolkata,Tamil Nadu,380,19,"Mobiles,Xiaomi,Xiaomi mobiles product with premium features."
P00126,Nike Footwea Model 8117,Footwear,Nike,107284,4.9,Nike footwear product with premium features.,Seller_144,Pune,West Bengal,189,27,"Footwear,Nike,Nike footwear product with premium features."
P00127,Bata Footwea Model 3968,Footwear,Bata,95374,3.2,Bata footwear product with premium features.,Seller_352,Chennai,Tamil Nadu,461,45,"Footwear,Bata,Bata footwear product with premium features."
P00128,OnePlus Mobile Model 4620,Mobiles,OnePlus,50056,4.9,OnePlus mobiles product with premium features.,Seller_486,Ahmedabad,Maharashtra,339,27,"Mobiles,OnePlus,OnePlus mobiles product with premium features."
P00129,Boat Electronic Model 928,Electronics,Boat,87726,3.5,Boat electronics product with premium features.,Seller_65,Bengaluru,Maharashtra,424,70,"Electronics,Boat,Boat electronics product with premium features."
P00130,Acer Laptop Model 3638,Laptops,Acer,61378,3.7,Acer laptops product with premium features.,Seller_76,Pune,Karnataka,439,18,"Laptops,Acer,Acer laptops product with premium features."
P00131,Acer Laptop Model 4206,Laptops,Acer,46042,3.2,Acer laptops product with premium features.,Seller_444,Pune,Delhi,7,45,"Laptops,Acer,Acer laptops product with premium features."
P00132,Acer Laptop Model 5404,Laptops,Acer,4435,3.3,Acer laptops product with premium features.,Seller_27,Delhi,West Bengal,215,67,"Laptops,Acer,Acer laptops product with premium features."
P00133,Vivo Mobile Model 1141,Mobiles,Vivo,125144,3.9,Vivo mobiles product with premium features.,Seller_186,Mumbai,Telangana,257,28,"Mobiles,Vivo,Vivo mobiles product with premium features."
P00134,LG Home Appliance Model 8643,Home Appliances,LG,79369,3.9,LG home appliances product with premium features.,Seller_494,Pune,Maharashtra,245,51,"Home Appliances,LG,LG home appliances product with premium features."
P00135,Nike Footwea Model 8132,Footwear,Nike,116576,3.1,Nike footwear product with premium features.,Seller_42,Chennai,Tamil Nadu,75,8,"Footwear,Nike,Nike footwear product with premium features."
P00136,Lenovo Laptop Model 9690,Laptops,Lenovo,144047,4.4,Lenovo laptops product with premium features.,Seller_196,Hyderabad,Telangana,258,55,"Laptops,Lenovo,Lenovo laptops product with premium features."
P00137,Vivo Mobile Model 1974,Mobiles,Vivo,144828,4.4,Vivo mobiles product with premium features.,Seller_111,Kolkata,Telangana,454,29,"Mobiles,Vivo,Vivo mobiles product with premium features."
P00138,Puma Footwea Model 7530,Footwear,Puma,104823,3.8,Puma footwear product with premium features.,Seller_49,Chennai,Telangana,160,32,"Footwear,Puma,Puma footwear product with premium features."
P00139,Levis Clothin Model 7870,Clothing,Levis,17897,3.2,Levis clothing product with premium features.,Seller_44,Mumbai,Telangana,49,47,"Clothing,Levis,Levis clothing product with premium features."
P00140,Acer Laptop Model 1082,Laptops,Acer,147515,4.1,Acer laptops product with premium features.,Seller_344,Mumbai,Telangana,181,54,"Laptops,Acer,Acer laptops product with premium features."
P00141,Boat Electronic Model 4812,Electronics,Boat,82205,3.7,Boat electronics product with premium features.,Seller_296,Bengaluru,Delhi,336,61,"Electronics,Boat,Boat electronics product with premium features."
P00142,HP Laptop Model 5836,Laptops,HP,146120,3.7,HP laptops product with premium features.,Seller_391,Hyderabad,Tamil Nadu,115,54,"Laptops,HP,HP laptops product with premium features."
P00143,LG Home Appliance Model 4481,Home Appliances,LG,7888,3.4,LG home appliances product with premium features.,Seller_360,Hyderabad,Karnataka,179,0,"Home Appliances,LG,LG home appliances product with premium features."
P00144,Dell Laptop Model 9378,Laptops,Dell,105362,3.1,Dell laptops product with premium features.,Seller_380,Pune,Maharashtra,382,67,"Laptops,Dell,Dell laptops product with premium features."
P00145,Asus Laptop Model 6978,Laptops,Asus,119219,3.7,Asus laptops product with premium features.,Seller_190,Hyderabad,West Bengal,166,10,"Laptops,Asus,Asus laptops product with premium features."
